"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 04 17:55:07 EEST 2019","Thu Jul 04 17:55:07 EEST 2019","180","Default Suite","comtrello","regression.CardTest","regression.CardTest","deleteAttachment","deleteAttachment",""
"broken","Thu Jul 04 17:55:07 EEST 2019","Thu Jul 04 17:55:08 EEST 2019","865","Default Suite","comtrello","regression.CardTest","regression.CardTest","copyCard","copyCard",""
"passed","Thu Jul 04 17:54:48 EEST 2019","Thu Jul 04 17:54:51 EEST 2019","3861","Default Suite","comtrello","regression.CardTest","regression.CardTest","openCard","openCard",""
"passed","Wed Jul 03 22:01:44 EEST 2019","Wed Jul 03 22:01:44 EEST 2019","6","Default Suite","comtrello","regression.CardTest","regression.CardTest","login","login",""
"passed","Thu Jul 04 17:54:53 EEST 2019","Thu Jul 04 17:54:54 EEST 2019","1573","Default Suite","comtrello","regression.CardTest","regression.CardTest","addChecklist","addChecklist",""
"passed","Thu Jul 04 17:54:54 EEST 2019","Thu Jul 04 17:55:05 EEST 2019","11279","Default Suite","comtrello","regression.CardTest","regression.CardTest","deleteChecklist","deleteChecklist",""
"passed","Thu Jul 04 17:54:52 EEST 2019","Thu Jul 04 17:54:53 EEST 2019","488","Default Suite","comtrello","regression.CardTest","regression.CardTest","addLabel","addLabel",""
"passed","Wed Jul 03 21:46:44 EEST 2019","Wed Jul 03 21:46:52 EEST 2019","8341","Default Suite","comtrello","junk.TrelloAPILogin","junk.TrelloAPILogin","loginByAPI","loginByAPI",""
"passed","Thu Jul 04 17:54:47 EEST 2019","Thu Jul 04 17:54:47 EEST 2019","8","Default Suite","comtrello","regression.CardTest","regression.CardTest","moveCard","moveCard",""
"passed","Thu Jul 04 17:54:51 EEST 2019","Thu Jul 04 17:54:52 EEST 2019","692","Default Suite","comtrello","regression.CardTest","regression.CardTest","addMember","addMember",""
"passed","Thu Jul 04 17:54:51 EEST 2019","Thu Jul 04 17:54:51 EEST 2019","0","Default Suite","comtrello","regression.CardTest","regression.CardTest","rename","rename",""
"passed","Wed Jul 03 21:43:07 EEST 2019","Wed Jul 03 21:43:10 EEST 2019","3593","Default Suite","comtrello","com.trello.api.TrelloAPILogin","com.trello.api.TrelloAPILogin","loginByApi","loginByApi",""
"passed","Thu Jul 04 17:55:05 EEST 2019","Thu Jul 04 17:55:07 EEST 2019","1429","Default Suite","comtrello","regression.CardTest","regression.CardTest","attachLink","attachLink",""
